id_donante,antiguedad_meses,monto_promedio,canal_captacion,interes_causa,contactos_anuales,abandono
1210,44,20.19,Redes Sociales,Animales,3,0
1211,47,21.25,Calle,Animales,12,1
1212,59,38.76,Referido,Animales,1,0
1213,9,43.32,Referido,Animales,3,0
1214,34,23.58,Redes Sociales,Niñez,12,0
1215,17,44.24,Referido,Ambiente,8,0
1216,27,27.7,Redes Sociales,Animales,7,0
1217,29,37.14,Evento,Ambiente,12,0
1218,37,41.45,Referido,Animales,10,1
1219,43,15.18,Calle,Humanitaria,11,0
1220,22,34.51,Email,Animales,2,0
1221,51,44.29,Referido,Salud,0,0
1222,24,24.39,Calle,Niñez,0,0
1223,7,19.43,Redes Sociales,Humanitaria,5,0
1224,34,34.95,Evento,Humanitaria,2,0
1225,48,31.33,Redes Sociales,Salud,3,0
1226,12,26.73,Redes Sociales,Animales,0,0
1227,23,29.98,Email,Niñez,7,1
1228,15,13.3,Evento,Humanitaria,0,0
1229,33,34.04,,Niñez,4,0
1230,57,45.93,Calle,Humanitaria,5,0
1231,13,22.85,Referido,Animales,1,0
1232,23,21.72,Calle,Humanitaria,6,0
1233,38,31.73,Calle,Humanitaria,6,0
1234,32,58.46,Calle,Ambiente,0,0
1235,45,41.0,Redes Sociales,Animales,3,0
1236,50,29.06,Referido,Salud,11,0
1237,35,30.4,Redes Sociales,Salud,12,0
1238,1,41.99,Redes Sociales,Animales,3,1
1239,47,20.91,Calle,Salud,4,0
1240,58,36.12,Redes Sociales,Animales,0,0
1241,45,18.83,Email,Salud,0,0
1242,5,39.25,Email,Ambiente,6,1
1243,57,27.06,Email,Salud,8,0
1244,13,32.01,Evento,Humanitaria,0,1
1245,54,26.41,Redes Sociales,Animales,1,0
1246,5,36.99,Email,Niñez,5,0
1247,60,28.25,Calle,Niñez,5,0
1248,32,51.58,Email,Animales,1,0
1249,51,44.19,Email,Ambiente,8,0
1250,21,16.96,,Salud,3,0
1251,24,31.91,Redes Sociales,Ambiente,12,0
1252,60,37.35,Evento,Niñez,6,0
1253,18,25.42,Email,Animales,5,0
1254,21,42.12,Evento,Animales,10,0
1255,54,40.95,Redes Sociales,Ambiente,12,1
1256,10,29.16,Calle,Ambiente,10,0
1257,24,39.81,Email,Salud,2,0
1258,40,5.89,Referido,Humanitaria,7,1
1259,47,43.58,Calle,Humanitaria,6,0
1260,21,38.87,Redes Sociales,Salud,8,0
1261,25,19.12,Calle,Humanitaria,2,0
1262,52,32.52,Email,Niñez,0,0
1263,60,9.74,Redes Sociales,Humanitaria,1,1
1264,57,22.37,Calle,Salud,11,0
1265,59,40.96,Email,Humanitaria,10,0
1266,23,29.87,Referido,Animales,11,0
1267,22,29.32,Referido,Ambiente,0,0
1268,4,30.45,Referido,Niñez,10,0
1269,34,29.29,Evento,Animales,4,0
1270,56,39.87,Redes Sociales,Animales,9,0
1271,6,23.81,Email,Salud,1,0
1272,28,34.19,Email,Ambiente,2,0
1273,31,18.55,Email,Ambiente,7,1
1274,35,37.41,Email,Niñez,9,0
1275,39,26.79,Calle,Salud,4,0
1276,42,29.59,Calle,Niñez,3,0
1277,23,26.38,Referido,Humanitaria,4,1
1278,6,27.64,Calle,Animales,9,0
1279,16,19.95,Referido,Niñez,5,0
1280,2,33.29,Referido,Animales,11,0
1281,24,35.55,Email,Salud,6,0
1282,17,16.69,Evento,Humanitaria,12,0
1283,45,24.04,Evento,Salud,8,0
1284,1,30.3,Redes Sociales,Humanitaria,0,0
1285,6,24.01,Calle,Humanitaria,3,0
1286,5,27.77,Redes Sociales,Animales,11,0
1287,57,46.16,Calle,Salud,11,0
1288,45,19.82,Calle,Salud,8,1
1289,60,6.88,Redes Sociales,Niñez,4,0
1290,55,24.01,Calle,Salud,7,0
1291,50,26.72,Redes Sociales,Niñez,11,0
1292,29,25.1,Redes Sociales,Ambiente,0,1
1293,12,32.69,Email,Ambiente,3,0
1294,39,19.72,Evento,Ambiente,11,1
1295,47,18.25,Redes Sociales,Salud,11,0
1296,3,23.26,,Salud,8,0
1297,48,23.46,Referido,Niñez,12,0
1298,1,51.21,,Humanitaria,0,0
1299,27,45.52,Calle,Niñez,0,0
1300,48,13.3,Redes Sociales,Ambiente,3,1
1301,24,10.7,Redes Sociales,Niñez,2,0
1302,44,29.14,Calle,Humanitaria,6,0
1303,19,49.12,,Salud,10,0
1304,59,36.66,Calle,Niñez,2,1
1305,8,29.67,Referido,Ambiente,0,0
1306,55,25.44,Email,Ambiente,11,0
1307,44,40.77,Calle,Salud,10,0
1308,47,31.78,Evento,Niñez,9,0
1309,2,47.32,Referido,Humanitaria,1,0
1310,30,13.12,Redes Sociales,Salud,9,0
1311,30,34.24,,Niñez,12,1
1312,49,24.37,Redes Sociales,Animales,3,1
1313,39,34.14,Redes Sociales,Ambiente,0,0
1314,45,32.51,Email,Humanitaria,0,0
1315,32,35.1,,Humanitaria,11,0
1316,1,39.78,Referido,Humanitaria,7,0
1317,38,43.9,Calle,Ambiente,6,0
1318,13,49.52,Redes Sociales,Niñez,7,0
1319,11,30.16,Redes Sociales,Salud,12,1
1320,10,24.58,Redes Sociales,Niñez,3,0
1321,48,17.74,Calle,Salud,5,0
1322,59,34.35,Referido,Humanitaria,12,0
1323,26,38.35,Referido,Niñez,2,1
1324,56,16.52,Redes Sociales,Humanitaria,10,0
1325,55,41.45,Email,Animales,12,0
1326,20,28.99,Referido,Humanitaria,7,1
1327,17,17.44,Calle,Humanitaria,3,0
1328,17,21.52,Calle,Salud,2,0
1329,4,20.57,Calle,Animales,3,0
1330,5,20.75,Redes Sociales,Humanitaria,5,1
1331,60,35.7,Evento,Humanitaria,10,0
1332,23,38.64,Referido,Animales,6,1
1333,46,46.99,Redes Sociales,Animales,6,1
1334,52,23.02,Redes Sociales,Niñez,11,0
1335,10,33.43,Redes Sociales,Salud,3,0
1336,46,23.53,Redes Sociales,Animales,7,0
1337,28,30.2,Email,Animales,6,0
1338,33,15.2,Referido,Ambiente,1,0
1339,43,18.77,Calle,Animales,12,0
1340,26,38.03,Redes Sociales,Salud,7,0
1341,55,15.17,Calle,Humanitaria,8,1
1342,50,36.15,Calle,Humanitaria,4,1
1343,48,23.24,Redes Sociales,Humanitaria,3,0
1344,29,10.74,Calle,Humanitaria,3,0
1345,27,5.39,Evento,Ambiente,12,1
1346,18,44.63,Calle,Animales,3,1
1347,40,10.95,Calle,Humanitaria,5,0
1348,60,29.36,Redes Sociales,Niñez,10,0
1349,10,33.54,Evento,Humanitaria,3,0
1350,58,16.87,Calle,Animales,6,0
1351,42,24.46,Calle,Humanitaria,6,0
1352,5,34.79,Email,Ambiente,4,1
1353,10,32.93,Referido,Salud,12,1
1354,50,25.39,Redes Sociales,Salud,4,0
1355,21,32.37,Redes Sociales,Animales,9,0
1356,24,28.98,Calle,Salud,7,0
1357,38,20.3,Redes Sociales,Salud,6,0
1358,3,42.0,Calle,Niñez,6,0
1359,40,32.07,Email,Animales,5,1
1360,31,11.58,Calle,Animales,6,0
1361,41,35.22,Evento,Salud,6,0
1362,37,23.84,Calle,Salud,9,0
1363,2,27.11,,Salud,1,0
1364,2,30.08,Calle,Ambiente,9,1
1365,39,22.07,Email,Humanitaria,1,0
1366,49,48.03,Evento,Ambiente,9,0
1367,42,15.07,Email,Animales,6,1
1368,44,30.57,Email,Niñez,9,0
1369,34,33.81,Redes Sociales,Humanitaria,6,0
1370,42,30.41,Redes Sociales,Niñez,6,0
1371,20,28.09,Redes Sociales,Animales,4,0
1372,33,26.23,Redes Sociales,Animales,0,0
1373,4,21.97,Redes Sociales,Niñez,1,0
1374,45,21.79,Referido,Niñez,12,0
1375,44,41.59,Redes Sociales,Niñez,8,0
1376,11,25.58,Evento,Animales,7,1
1377,42,51.32,Email,Salud,7,0
1378,47,36.69,Redes Sociales,Niñez,9,1
1379,5,6.68,Email,Humanitaria,0,0
1380,25,38.83,Redes Sociales,Animales,5,0
1381,49,29.47,Redes Sociales,Ambiente,8,0
1382,60,16.1,Referido,Ambiente,7,0
1383,37,43.04,Calle,Humanitaria,2,0
1384,34,25.64,Email,Salud,3,0
1385,9,24.79,Referido,Niñez,2,1
1386,6,33.75,Email,Animales,5,1
1387,18,41.43,,Niñez,8,0
1388,14,31.13,Redes Sociales,Animales,7,0
1389,19,30.42,Referido,Ambiente,12,0
1390,14,23.03,Email,Niñez,9,0
1391,40,41.26,Email,Humanitaria,3,1
1392,17,31.23,Calle,Salud,1,0
1393,60,27.75,Evento,Humanitaria,12,0
1394,35,26.5,Referido,Salud,7,0
1395,29,40.27,Evento,Niñez,7,0
1396,42,27.38,Email,Niñez,11,0
1397,17,40.29,Email,Salud,10,0
1398,59,25.28,Calle,Ambiente,5,0
1399,43,37.22,Referido,Animales,7,0
1400,8,32.07,Referido,Humanitaria,8,0
1401,1,20.49,Redes Sociales,Humanitaria,12,0
1402,45,29.13,Email,Humanitaria,0,1
1403,53,8.09,Calle,Niñez,8,1
1404,36,22.56,Email,Humanitaria,1,1
1405,7,14.22,Evento,Animales,12,1
1406,46,49.98,Email,Animales,0,0
1407,5,14.34,Evento,Salud,7,0
1408,24,55.86,Redes Sociales,Niñez,7,0
1409,28,35.14,,Animales,10,1
1410,43,24.81,Redes Sociales,Ambiente,3,0
1411,17,38.06,Evento,Niñez,7,0
1412,37,23.55,Email,Niñez,6,1
1413,20,15.9,Email,Animales,12,0
1414,3,30.79,Calle,Ambiente,1,0
1415,37,37.0,Calle,Salud,4,0
1416,26,42.78,Calle,Animales,9,0
1417,15,34.98,Redes Sociales,Ambiente,3,0
1418,51,24.71,Evento,Niñez,2,0
1419,48,43.86,Referido,Ambiente,0,0
1420,8,41.63,Referido,Niñez,4,0
1421,13,32.69,Referido,Animales,9,0
1422,48,42.11,Referido,Animales,7,0
1423,3,51.85,Redes Sociales,Humanitaria,11,1
1424,1,24.56,Calle,Humanitaria,8,1
1425,9,21.0,Redes Sociales,Humanitaria,6,1
1426,31,24.27,Calle,Animales,11,0
1427,41,16.5,Calle,Salud,10,0
1428,54,35.91,Email,Animales,0,0
1429,26,13.9,Evento,Ambiente,0,0
1430,17,42.65,Redes Sociales,Animales,0,0
1431,56,23.28,Redes Sociales,Animales,1,0
1432,34,43.59,Referido,Niñez,0,0
1433,9,5.57,Calle,Niñez,3,1
1434,56,26.15,Redes Sociales,Niñez,9,0
1435,51,17.07,Redes Sociales,Animales,8,1
1436,13,43.53,Referido,Salud,11,0
1437,5,46.79,Redes Sociales,Ambiente,3,0
1438,41,6.56,Email,Ambiente,12,1
1439,13,38.66,Referido,Salud,3,1
1440,1,40.69,Redes Sociales,Salud,6,1
1441,25,33.26,Redes Sociales,Ambiente,10,0
1442,47,35.88,Email,Humanitaria,8,0
1443,4,35.16,Evento,Niñez,6,0
1444,36,38.7,Evento,Niñez,0,0
1445,52,19.08,Email,Ambiente,0,0
1446,10,42.0,Email,Salud,3,1
1447,28,32.09,Email,Humanitaria,3,1
1448,57,31.49,Referido,Ambiente,0,0
1449,6,35.67,Evento,Niñez,5,0
1450,27,17.29,Redes Sociales,Animales,9,0
1451,56,14.47,Referido,Salud,1,0
1452,12,28.79,Calle,Animales,10,0
1453,52,45.44,Calle,Ambiente,4,0
1454,48,18.15,Email,Niñez,7,0
1455,3,31.75,Redes Sociales,Humanitaria,2,0
1456,46,22.83,Calle,Animales,8,1
1457,33,21.49,Redes Sociales,Humanitaria,6,0
1458,10,35.01,Calle,Niñez,8,0
1459,31,37.59,Redes Sociales,Animales,0,0
1460,15,22.12,Redes Sociales,Humanitaria,4,0
1461,7,43.87,Redes Sociales,Humanitaria,11,0
1462,36,34.23,Calle,Animales,12,0
1463,14,27.58,Referido,Niñez,2,0
1464,56,33.48,Calle,Humanitaria,3,0
1465,48,50.36,Email,Ambiente,3,0
1466,14,37.54,Evento,Animales,10,0
1467,3,23.01,Redes Sociales,Salud,11,0
1468,49,29.81,Email,Salud,6,0
1469,53,31.31,Redes Sociales,Niñez,9,0
1470,46,36.65,Email,Ambiente,10,0
1471,50,32.4,Redes Sociales,Humanitaria,7,0
1472,3,48.95,Email,Salud,10,0
1473,22,27.73,Redes Sociales,Niñez,9,1
1474,19,12.7,,Ambiente,4,1
1475,35,32.15,Calle,Ambiente,12,0
1476,12,25.59,Email,Niñez,12,0
1477,54,14.96,Redes Sociales,Niñez,11,0
1478,5,22.96,,Humanitaria,9,0
1479,10,26.42,Email,Niñez,6,0
1480,41,41.4,Calle,Humanitaria,2,0
1481,33,15.17,Calle,Humanitaria,2,0
1482,13,33.5,Referido,Animales,2,0
1483,35,52.2,Calle,Ambiente,11,1
1484,51,28.25,Calle,Ambiente,3,0
1485,32,27.96,,Ambiente,5,0
1486,11,37.2,Email,Animales,4,0
1487,48,35.22,Redes Sociales,Humanitaria,7,0
1488,38,44.18,Redes Sociales,Humanitaria,11,0
1489,24,28.33,Email,Niñez,12,0
1490,35,37.02,Email,Animales,4,0
1491,19,37.18,Calle,Niñez,10,1
1492,6,26.64,Calle,Animales,11,0
1493,40,28.86,Redes Sociales,Niñez,4,0
1494,54,29.89,Redes Sociales,Salud,9,0
1495,45,17.62,Calle,Ambiente,1,0
1496,44,26.11,Evento,Ambiente,11,1
1497,42,44.96,Calle,Humanitaria,10,0
1498,35,40.38,Redes Sociales,Salud,10,0
1499,4,24.2,Email,Ambiente,4,0
1500,33,29.84,Email,Humanitaria,11,0
1501,13,39.71,Referido,Salud,6,0
1502,56,34.43,Calle,Ambiente,1,0
1503,36,38.0,Evento,Niñez,12,0
1504,54,35.34,Email,Animales,5,0
1505,43,32.15,Referido,Salud,6,0
1506,19,28.34,Redes Sociales,Humanitaria,4,0
1507,43,18.05,Email,Salud,8,0
1508,12,36.92,Email,Humanitaria,3,1
1509,11,27.78,Email,Salud,12,1
1510,6,13.52,Referido,Humanitaria,9,1
1511,12,24.54,Calle,Ambiente,0,0
1512,27,38.52,Calle,Niñez,7,0
1513,41,10.84,Email,Ambiente,7,1
1514,25,19.7,Email,Niñez,6,1
1515,42,31.37,Redes Sociales,Ambiente,7,0
1516,3,44.06,Redes Sociales,Ambiente,1,0
1517,3,40.0,Evento,Salud,2,0
1518,20,45.02,Email,Animales,8,1
1519,28,32.08,Email,Humanitaria,0,0
1520,23,27.91,Redes Sociales,Humanitaria,7,0
1521,48,38.43,Calle,Humanitaria,7,1
1522,3,21.01,Evento,Niñez,6,0
1523,42,20.23,Email,Humanitaria,12,0
1524,24,18.45,,Humanitaria,10,0
1525,43,40.89,Email,Salud,4,0
1526,40,21.65,Calle,Ambiente,3,0
1527,6,40.01,Calle,Humanitaria,9,0
1528,20,31.48,Redes Sociales,Animales,9,0
1529,11,41.02,Redes Sociales,Humanitaria,12,0
1530,32,18.95,Email,Niñez,9,0
1531,60,23.74,Email,Niñez,9,1
1532,27,34.54,Email,Niñez,5,1
1533,21,25.69,Email,Humanitaria,11,0
1534,44,5.07,Calle,Salud,10,1
1535,48,16.28,Referido,Animales,0,0
1536,50,18.87,,Humanitaria,12,0
1537,13,19.61,Email,Salud,4,0
1538,22,36.82,Redes Sociales,Salud,3,0
1539,35,33.37,Calle,Humanitaria,3,0
1540,47,31.62,Redes Sociales,Humanitaria,6,0
1541,22,50.09,Email,Salud,8,1
1542,28,41.75,Calle,Salud,7,0
1543,21,38.02,Redes Sociales,Salud,10,0
1544,46,15.05,Referido,Humanitaria,12,0
1545,18,30.6,Calle,Salud,11,0
1546,31,32.99,Evento,Niñez,7,0
1547,60,25.85,Redes Sociales,Humanitaria,4,0
1548,46,47.06,Referido,Niñez,5,0
1549,37,30.51,Calle,Ambiente,1,0
1550,21,17.72,Referido,Humanitaria,12,1
1551,14,20.03,Calle,Ambiente,10,0
1552,25,52.82,Email,Salud,2,0
1553,27,25.8,Calle,Salud,4,0
1554,40,9.21,Calle,Animales,1,1
1555,60,24.01,Email,Salud,2,0
1556,60,11.73,Calle,Ambiente,3,0
1557,23,39.17,Redes Sociales,Salud,5,1
1558,31,10.45,Redes Sociales,Humanitaria,4,0
1559,47,15.98,Referido,Salud,9,1
1560,60,30.04,Calle,Animales,3,0
1561,29,41.09,Referido,Salud,12,0
1562,47,29.31,,Ambiente,1,0
1563,30,17.42,Redes Sociales,Ambiente,11,0
1564,51,31.83,Redes Sociales,Salud,10,0
1565,26,25.32,,Ambiente,4,0
1566,20,41.33,Calle,Ambiente,4,0
1567,38,38.55,Evento,Animales,10,0
1568,19,24.63,Calle,Humanitaria,6,0
1569,27,37.8,Email,Animales,0,1
1570,25,32.71,Evento,Niñez,3,0
1571,40,43.67,Calle,Animales,10,0
1572,38,37.37,Referido,Salud,4,0
1573,52,35.47,Evento,Humanitaria,7,1
1574,23,43.28,Calle,Salud,11,1
1575,29,30.15,Email,Niñez,11,0
1576,15,22.27,Email,Humanitaria,7,1
1577,59,32.01,Redes Sociales,Ambiente,0,0
1578,3,26.45,Email,Animales,4,0
1579,10,36.04,Calle,Salud,9,0
1580,15,30.62,Redes Sociales,Niñez,0,0
1581,56,34.03,Calle,Ambiente,0,0
1582,16,17.96,Email,Animales,1,0
1583,17,35.08,Calle,Ambiente,1,0
1584,19,17.15,Evento,Animales,8,0
1585,11,39.62,Calle,Humanitaria,3,0
1586,48,39.63,Redes Sociales,Ambiente,2,0
1587,5,33.48,Redes Sociales,Ambiente,10,0
1588,5,33.1,Redes Sociales,Ambiente,0,0
1589,58,27.76,,Humanitaria,11,0
1590,14,23.97,Redes Sociales,Niñez,1,1
1591,50,29.85,Redes Sociales,Animales,5,0
1592,26,49.83,Calle,Ambiente,8,0
1593,8,32.29,Redes Sociales,Humanitaria,4,0
1594,5,16.54,Evento,Niñez,3,0
1595,7,12.92,Email,Animales,12,0
1596,16,15.62,Calle,Humanitaria,4,0
1597,55,26.22,Referido,Animales,8,0
1598,14,42.66,Redes Sociales,Ambiente,11,0
1599,37,19.77,Redes Sociales,Niñez,12,0
1600,56,44.22,Redes Sociales,Humanitaria,6,0
1601,41,31.79,Redes Sociales,Niñez,7,0
1602,4,34.83,Redes Sociales,Ambiente,3,0
1603,36,34.56,Redes Sociales,Niñez,10,0
1604,48,35.91,Redes Sociales,Niñez,7,0
